,name,actual_deathdate,temperature,gpt_deathdate,date_difference,abs_date_difference,is_accurate,year_month,year_month_formatted
139,Peter Bogdanovich,2022-01-06,0.75,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
140,Peter Bogdanovich,2022-01-06,1.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
141,Peter Bogdanovich,2022-01-06,1.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
142,Peter Bogdanovich,2022-01-06,1.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
143,Peter Bogdanovich,2022-01-06,1.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
144,Peter Bogdanovich,2022-01-06,1.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
145,Peter Bogdanovich,2022-01-06,1.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
146,Peter Bogdanovich,2022-01-06,1.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
147,Peter Bogdanovich,2022-01-06,1.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
148,Peter Bogdanovich,2022-01-06,1.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
149,Peter Bogdanovich,2022-01-06,1.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
150,Bob Saget,2022-01-09,0.0,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
151,Bob Saget,2022-01-09,0.0,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
152,Bob Saget,2022-01-09,0.0,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
153,Bob Saget,2022-01-09,0.0,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
154,Bob Saget,2022-01-09,0.0,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
155,Bob Saget,2022-01-09,0.0,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
156,Bob Saget,2022-01-09,0.0,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
157,Bob Saget,2022-01-09,0.0,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
158,Bob Saget,2022-01-09,0.0,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
159,Bob Saget,2022-01-09,0.0,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
160,Bob Saget,2022-01-09,0.25,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
161,Bob Saget,2022-01-09,0.25,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
162,Bob Saget,2022-01-09,0.25,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
163,Bob Saget,2022-01-09,0.25,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
164,Bob Saget,2022-01-09,0.25,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
165,Bob Saget,2022-01-09,0.25,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
166,Bob Saget,2022-01-09,0.25,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
167,Bob Saget,2022-01-09,0.25,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
168,Bob Saget,2022-01-09,0.25,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
169,Bob Saget,2022-01-09,0.25,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
170,Bob Saget,2022-01-09,0.5,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
171,Bob Saget,2022-01-09,0.5,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
172,Bob Saget,2022-01-09,0.5,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
173,Bob Saget,2022-01-09,0.5,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
174,Bob Saget,2022-01-09,0.5,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
175,Bob Saget,2022-01-09,0.5,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
176,Bob Saget,2022-01-09,0.5,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
177,Bob Saget,2022-01-09,0.5,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
178,Bob Saget,2022-01-09,0.5,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
179,Bob Saget,2022-01-09,0.5,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
180,Bob Saget,2022-01-09,0.75,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
181,Bob Saget,2022-01-09,0.75,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
182,Bob Saget,2022-01-09,0.75,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
183,Bob Saget,2022-01-09,0.75,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
184,Bob Saget,2022-01-09,0.75,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
185,Bob Saget,2022-01-09,0.75,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
186,Bob Saget,2022-01-09,0.75,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
187,Bob Saget,2022-01-09,0.75,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
188,Bob Saget,2022-01-09,0.75,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
189,Bob Saget,2022-01-09,0.75,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
190,Bob Saget,2022-01-09,1.0,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
191,Bob Saget,2022-01-09,1.0,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
192,Bob Saget,2022-01-09,1.0,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
193,Bob Saget,2022-01-09,1.0,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
194,Bob Saget,2022-01-09,1.0,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
195,Bob Saget,2022-01-09,1.0,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
196,Bob Saget,2022-01-09,1.0,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
197,Bob Saget,2022-01-09,1.0,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
198,Bob Saget,2022-01-09,1.0,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
199,Bob Saget,2022-01-09,1.0,2022-01-09,0.0,0.0,True,2022-01,Jan 2022
200,Robert Durst,2022-01-10,0.0,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
201,Robert Durst,2022-01-10,0.0,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
202,Robert Durst,2022-01-10,0.0,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
203,Robert Durst,2022-01-10,0.0,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
204,Robert Durst,2022-01-10,0.0,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
205,Robert Durst,2022-01-10,0.0,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
206,Robert Durst,2022-01-10,0.0,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
207,Robert Durst,2022-01-10,0.0,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
208,Robert Durst,2022-01-10,0.0,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
209,Robert Durst,2022-01-10,0.0,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
210,Robert Durst,2022-01-10,0.25,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
211,Robert Durst,2022-01-10,0.25,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
212,Robert Durst,2022-01-10,0.25,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
213,Robert Durst,2022-01-10,0.25,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
214,Robert Durst,2022-01-10,0.25,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
215,Robert Durst,2022-01-10,0.25,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
216,Robert Durst,2022-01-10,0.25,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
217,Robert Durst,2022-01-10,0.25,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
218,Robert Durst,2022-01-10,0.25,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
219,Robert Durst,2022-01-10,0.25,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
220,Robert Durst,2022-01-10,0.5,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
221,Robert Durst,2022-01-10,0.5,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
222,Robert Durst,2022-01-10,0.5,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
223,Robert Durst,2022-01-10,0.5,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
224,Robert Durst,2022-01-10,0.5,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
225,Robert Durst,2022-01-10,0.5,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
226,Robert Durst,2022-01-10,0.5,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
227,Robert Durst,2022-01-10,0.5,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
228,Robert Durst,2022-01-10,0.5,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
229,Robert Durst,2022-01-10,0.5,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
230,Robert Durst,2022-01-10,0.75,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
231,Robert Durst,2022-01-10,0.75,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
232,Robert Durst,2022-01-10,0.75,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
233,Robert Durst,2022-01-10,0.75,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
234,Robert Durst,2022-01-10,0.75,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
235,Robert Durst,2022-01-10,0.75,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
236,Robert Durst,2022-01-10,0.75,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
237,Robert Durst,2022-01-10,0.75,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
238,Robert Durst,2022-01-10,0.75,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
239,Robert Durst,2022-01-10,0.75,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
240,Robert Durst,2022-01-10,1.0,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
241,Robert Durst,2022-01-10,1.0,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
242,Robert Durst,2022-01-10,1.0,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
243,Robert Durst,2022-01-10,1.0,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
244,Robert Durst,2022-01-10,1.0,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
245,Robert Durst,2022-01-10,1.0,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
246,Robert Durst,2022-01-10,1.0,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
247,Robert Durst,2022-01-10,1.0,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
248,Robert Durst,2022-01-10,1.0,2021-01-10,-365.0,365.0,False,2022-01,Jan 2022
249,Robert Durst,2022-01-10,1.0,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
250,Don Maynard,2022-01-10,0.0,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
251,Don Maynard,2022-01-10,0.0,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
252,Don Maynard,2022-01-10,0.0,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
253,Don Maynard,2022-01-10,0.0,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
254,Don Maynard,2022-01-10,0.0,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
255,Don Maynard,2022-01-10,0.0,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
256,Don Maynard,2022-01-10,0.0,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
257,Don Maynard,2022-01-10,0.0,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
258,Don Maynard,2022-01-10,0.0,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
259,Don Maynard,2022-01-10,0.0,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
260,Don Maynard,2022-01-10,0.25,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
261,Don Maynard,2022-01-10,0.25,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
262,Don Maynard,2022-01-10,0.25,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
263,Don Maynard,2022-01-10,0.25,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
264,Don Maynard,2022-01-10,0.25,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
265,Don Maynard,2022-01-10,0.25,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
266,Don Maynard,2022-01-10,0.25,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
267,Don Maynard,2022-01-10,0.25,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
268,Don Maynard,2022-01-10,0.25,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
269,Don Maynard,2022-01-10,0.25,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
270,Don Maynard,2022-01-10,0.5,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
271,Don Maynard,2022-01-10,0.5,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
272,Don Maynard,2022-01-10,0.5,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
273,Don Maynard,2022-01-10,0.5,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
274,Don Maynard,2022-01-10,0.5,2022-01-10,0.0,0.0,True,2022-01,Jan 2022
