name,birthdate,deathdate
Pierre Cardin,1922-07-07,2020-12-29
Paul Westphal,1950-11-30,2021-01-02
Siegfried Fischbacher,1939-06-13,2021-01-13
Phil Spector,1940-12-26,2021-01-16
Don Sutton,1945-04-02,2021-01-18
Ted Thompson,1953-01-17,2021-01-20
Larry King,1933-11-19,2021-01-23
Cloris Leachman,1926-04-30,2021-01-27
Cicely Tyson,1933-12-19,2021-01-28
Dustin Diamond,1977-01-07,2021-02-01
Christopher Plummer,1929-12-13,2021-02-05
Leon Spinks,1953-07-11,2021-02-05
Marty Schottenheimer,1943-09-23,2021-02-08
George Segal,1934-02-13,2021-03-23
DMX,1970-12-18,2021-04-09
"Prince Philip, Duke of Edinburgh",1921-06-10,2021-04-09
Bobby Unser,1934-02-20,2021-05-02
Hal Holbrook,1925-02-17,2021-05-18
Charles Grodin,1935-04-21,2021-05-18
Gavin MacLeod,1931-02-28,2021-05-29
Clarence Williams III,1939-08-21,2021-06-04
Lisa Banes,1955-07-09,2021-06-14
Beverly Joanne Linville,1928-01-15,2021-06-20
Donald Rumsfeld,1932-07-09,2021-06-29
Raffaella Maria Roberta Pelloni,1943-06-18,2021-07-05
Richard Donner,1930-04-24,2021-07-05
Mohammed Yusuf Khan,1922-12-11,2021-07-07
Robert Downey Sr.,1936-06-24,2021-07-07
Biz Markie,1964-04-08,2021-07-16
Jackie Mason,1936-06-09,2021-07-24
Mike Enzi,1944-02-01,2021-07-26
Ronald Popeil,1935-05-03,2021-07-28
Dusty Hill,1949-05-19,2021-07-28
Richard Trumka,1949-07-24,2021-08-05
Jane Withers,1926-04-12,2021-08-07
Carl Thompson,1968-07-12,2021-08-09
Maki Kaji,1951-10-08,2021-08-10
Anthony Esposito,1943-04-23,2021-08-10
Neal Conan,1946-11-26,2021-08-10
Joseph Walton,1935-12-15,2021-08-15
William Freehan,1941-11-29,2021-08-19
Rodrigue Gilbert,1941-07-01,2021-08-19
Tom T. Hall,1936-05-25,2021-08-20
Don Everly,1937-02-01,2021-08-21
Charlie Watts,1941-06-02,2021-08-24
Ed Asner,1929-11-15,2021-08-29
Michail Theodorakis,1925-07-29,2021-09-02
Willard Scott,1934-03-07,2021-09-04
Jean-Paul Belmondo,1933-04-09,2021-09-06
Michael K. Williams,1966-11-22,2021-09-06
Manuel Rubén Abimael Guzmán Reynoso,1934-12-03,2021-09-11
George Wein,1925-10-03,2021-09-13
Norm MacDonald,1963-10-17,2021-09-14
Jane Powell,1929-04-01,2021-09-16
Melvin Van Peebles,1932-08-21,2021-09-21
Bernard Tapie,1943-01-26,2021-10-03
Raymond T. Odierno,1954-11-08,2021-10-08
Ruth Tompson,1910-07-22,2021-10-10
Brian Goldner,1963-04-21,2021-10-12
Gary Paulsen,1939-05-17,2021-10-13
Earl Old Person,1929-04-13,2021-10-18
Colin Powell,1937-04-05,2021-10-18
Jay Black,1938-11-02,2021-10-22
Morton Sahl,1927-05-11,2021-10-26
Jerry Remy,1952-11-08,2021-10-30
Aaron Beck,1921-07-18,2021-11-01
Peter Aykroyd,1955-11-19,2021-11-06
Robert Dean Stockwell,1936-03-05,2021-11-07
Joseph Cleland,1942-08-24,2021-11-09
Frederik Willem de Klerk,1936-03-18,2021-11-11
Graeme Edge,1941-03-30,2021-11-11
Sam Huff,1934-10-04,2021-11-13
Stu Rasmussen,1948-09-09,2021-11-17
Art LaFleur,1943-09-09,2021-11-17
Dave Frishberg,1933-03-23,2021-11-17
Peter Buck,1930-12-19,2021-11-18
Robert Bly,1926-12-23,2021-11-21
William Charles Virdon,1931-09-06,2021-11-23
Stephen Sondheim,1930-03-22,2021-11-26
Robert Lee Elder,1934-07-14,2021-11-28
Virgil Abloh,1980-09-30,2021-11-28
Arlene Dahl,1925-08-11,2021-11-29
Dewey LaMarr Hoyt Jr.,1955-01-01,2021-11-29
Bob Dole,1923-07-23,2021-12-05
Lina Wertmüller,1928-08-14,2021-12-09
Alfred Unser,1939-05-29,2021-12-09
Demaryius Thomas,1987-12-25,2021-12-09
Cara Williams,1925-06-29,2021-12-09
Michael Nesmith,1942-12-30,2021-12-10
Anne Rice,1941-10-04,2021-12-11
Vicente Fernandez,1940-02-17,2021-12-12
Gloria Jean Watkins,1952-09-25,2021-12-15
Eve Babitz,1943-05-13,2021-12-17
Kangol Kid,1966-08-10,2021-12-18
Johnny Isakson,1944-12-28,2021-12-19
Carlos Marín Menchero,1968-10-13,2021-12-19
Sally Ann Howes,1930-07-20,2021-12-19
Joan Didion,1934-12-05,2021-12-23
Morton Wayne Thiebaud,1920-11-15,2021-12-25
Desmond Tutu,1931-10-07,2021-12-26
Sarah Weddington,1945-02-05,2021-12-26
John Madden,1936-04-10,2021-12-28
Harry Reid,1939-12-03,2021-12-28
Sam Jones,1933-06-24,2021-12-30
Betty White,1922-01-17,2021-12-31
Dan Reeves,1944-01-19,2022-01-01
Sidney Poitier,1927-02-20,2022-01-06
Peter Bogdanovich,1939-07-30,2022-01-06
Bob Saget,1956-05-17,2022-01-09
Robert Durst,1943-04-12,2022-01-10
Don Maynard,1935-01-25,2022-01-10
Ronnie Spector,1943-08-10,2022-01-12
Peter Robbins,1956-08-10,2022-01-18
André Leon Talley,1948-10-16,2022-01-18
Meat Loaf,1947-09-27,2022-01-20
Louie Anderson,1953-03-24,2022-01-21
Moses J. Moseley,1991-12-24,2022-01-26
Howard Hesseman,1940-02-27,2022-01-29
Gerald Williams,1966-08-10,2022-02-08
Jeremy Giambi,1974-09-30,2022-02-09
Betty Davis,1945-07-26,2022-02-09
Ivan Reitman,1946-10-27,2022-02-12
Sally Kellerman,1937-06-02,2022-02-24
Ned Eisenberg,1957-01-13,2022-02-27
"Alan Ladd, Jr.",1937-10-22,2022-03-02
Emilio Delgado,1940-05-08,2022-03-10
Traci Braxton,1971-04-02,2022-03-12
William Hurt,1950-03-20,2022-03-13
Scott Hall,1958-10-20,2022-03-14
Madeleine Albright,1937-05-15,2022-03-23
Taylor Hawkins,1972-02-17,2022-03-25
Estelle Harris,1928-04-22,2022-04-02
Bobby Rydell,1942-04-26,2022-04-05
Rayfield Wright,1945-08-23,2022-04-07
Dwayne Haskins,1997-05-03,2022-04-09
Jack Higgins,1929-07-27,2022-04-09
Gary Brown (NFL),1969-07-01,2022-04-10
Gilbert Gottfried,1955-02-28,2022-04-12
Shirley Spork,1927-05-14,2022-04-12
Cedric McMillan,1977-08-17,2022-04-12
Mike Bossy,1957-01-22,2022-04-14
Liz Sheridan,1929-04-10,2022-04-15
Daryle Lamonica,1941-07-17,2022-04-21
Guy Lafleur,1951-09-20,2022-04-22
Orrin Hatch,1934-03-22,2022-04-23
Jossara Jinaro,1973-05-25,2022-04-27
Naomi Judd,1946-01-11,2022-04-30
Norman Mineta,1931-11-12,2022-05-03
George Pérez,1954-06-09,2022-05-06
Mickey Gilley,1936-03-09,2022-05-07
Fred Ward,1942-12-30,2022-05-08
Adreian Payne,1991-02-19,2022-05-09
Bob Lanier,1948-09-10,2022-05-10
Ray Liotta,1954-12-18,2022-05-26
Andy Fletcher,1961-07-08,2022-05-26
Alan White,1949-06-14,2022-05-26
Bo Hopkins,1938-02-02,2022-05-28
Marion Barber,1983-06-10,2022-06-01
Jim Seals,1942-10-17,2022-06-06
Billy Kametz,1987-03-22,2022-06-09
Philip Baker Hall,1931-09-10,2022-06-12
Tony Siragusa,1967-05-14,2022-06-22
Mary Mara,1960-09-21,2022-06-26
Marlin Briscoe,1945-09-10,2022-06-27
Joe Turkel,1927-07-15,2022-06-27
Lenny Von Dohlen,1958-12-22,2022-07-05
James Caan,1940-03-26,2022-07-06
Shinzo Abe,1954-09-21,2022-07-08
Tony Sirico,1942-07-29,2022-07-08
Ivana Trump,1949-02-20,2022-07-14
Rebecca Balding,1948-09-21,2022-07-18
Paul Sorvino,1939-04-13,2022-07-25
Tony Dow,1945-04-13,2022-07-27
Bill Russell,1934-02-02,2022-07-31
Nichelle Nichols,1932-12-28,2022-07-31
Vin Scully,1927-11-29,2022-08-02
Roger E. Mosley,1938-12-18,2022-08-07
Olivia Newton-John,1948-09-26,2022-08-08
Anne Heche,1969-05-25,2022-08-12
Tom Weiskopf,1942-11-09,2022-08-21
Len Dawson,1935-06-20,2022-08-24
Mikhail Gorbachev,1931-03-02,2022-08-30
Earnie Shavers,1944-08-31,2022-09-01
Elizabeth II,1926-04-21,2022-09-08
Ken Starr,1946-07-21,2022-09-13
Maury Wills,1932-10-02,2022-09-19
Louise Fletcher,1934-07-22,2022-09-23
Coolio,1963-08-01,2022-09-28
Loretta Lynn,1934-04-14,2022-10-04
Angela Lansbury,1925-10-16,2022-10-11
Bruce Sutter,1953-01-08,2022-10-13
Robbie Coltrane,1950-03-30,2022-10-14
Ashton Carter,1954-09-14,2022-10-24
Leslie Jordan,1955-04-29,2022-10-24
Jerry Lee Lewis,1935-09-29,2022-10-28
Vince Dooley,1932-09-04,2022-10-28
Kirshnik Khari Ball,1994-06-18,2022-11-01
Ray Guy,1949-12-22,2022-11-03
Dave Butz,1950-06-23,2022-11-04
Aaron Carter,1987-12-07,2022-11-05
"Leo Anthony Gallagher, Jr.",1946-07-24,2022-11-11
John Aniston,1933-07-24,2022-11-11
Budd Friedman,1932-06-06,2022-11-12
Irene Cara,1959-03-18,2022-11-25
Clarence Gilyard,1955-12-24,2022-11-28
Brad William Henke,1966-04-10,2022-11-29
Christine McVie,1943-07-12,2022-11-30
John Hadl,1940-02-15,2022-11-30
Gaylord Perry,1938-09-15,2022-12-01
Bob McGrath,1932-06-13,2022-12-04
Kirstie Alley,1951-01-12,2022-12-05
Georgia Holt,1926-06-09,2022-12-10
"Stephen ""tWitch"" Boss",1982-09-29,2022-12-13
Franco Harris,1950-03-07,2022-12-20
Pele,1940-10-23,2022-12-29
Barbara Walters,1929-09-25,2022-12-30
Pope Benedict XVI,1927-04-16,2022-12-31
Lola Chantrelle Mitchell,1979-08-07,2023-01-01
Ken Block,1967-11-21,2023-01-02
Adam Rich,1968-10-12,2023-01-07
Jeff Beck,1944-06-24,2023-01-10
Lisa Marie Presley,1968-02-01,2023-01-12
Julian Sands,1958-01-04,2023-01-13
CJ Harris,1991-01-28,2023-01-15
Jay Briscoe,1984-01-25,2023-01-17
David Crosby,1941-08-14,2023-01-18
Sal Bando,1944-02-13,2023-01-20
Lance Kerwin,1960-11-06,2023-01-24
Billy Packer,1940-02-25,2023-01-26
Lisa Loring,1958-02-16,2023-01-28
Bobby Hull,1939-01-03,2023-01-30
Terry Holland,1942-04-02,2023-02-02
Burt Bacharach,1928-05-12,2023-02-08
David Jude Jolicoeur,1968-09-21,2023-02-12
Conrad Dobler,1950-10-01,2023-02-13
Raquel Welch,1940-09-05,2023-02-15
Tim McCarver,1941-10-16,2023-02-16
Richard Belzer,1944-08-04,2023-02-19
Tom Sizemore,1961-11-29,2023-03-03
Gary Rossington,1951-12-04,2023-03-05
Robert Blake,1933-09-18,2023-03-09
Bud Grant,1927-05-20,2023-03-11
Joe Pepitone,1940-10-09,2023-03-13
Bobby Caldwell,1951-08-15,2023-03-14
Lance Reddick,1962-06-07,2023-03-17
Willis Reed,1942-06-25,2023-03-21
Ryuichi Sakamoto,1952-01-17,2023-03-28
Paul Cattermole,1977-03-07,2023-04-06
Michael Lerner,1941-06-22,2023-04-08
Al Jaffee,1921-03-13,2023-04-10
Mary Quant,1930-02-11,2023-04-13
Len Goodman,1944-04-25,2023-04-22
Harry Belafonte,1927-03-01,2023-04-25
Jerry Springer,1944-02-13,2023-04-27
Vida Blue,1949-07-28,2023-05-06
Joe Kapp,1938-03-19,2023-05-08
Denny Crum,1937-03-02,2023-05-09
Doyle Brunson,1933-08-10,2023-05-14
Marlene Hagge,1934-02-16,2023-05-16
Jim Brown,1936-02-17,2023-05-19
Tina Turner,1939-11-26,2023-05-24
Robert Hanssen,1944-04-18,2023-06-05
The Iron Sheik,1942-03-15,2023-06-07
Pat Robertson,1930-03-22,2023-06-08
Theodore Kaczynski,1942-05-22,2023-06-10
Treat Williams,1951-12-01,2023-06-12
Silvio Berlusconi,1936-09-29,2023-06-12
Cormac McCarthy,1933-07-20,2023-06-13
Daniel Ellsberg,1931-04-07,2023-06-16
Bobby Osborne,1931-12-07,2023-06-27
Alan Arkin,1934-03-26,2023-06-29
Tony Bennett,1926-08-03,2023-07-21
Sinead O'Connor,1966-12-08,2023-07-26
Paul Reubens,1952-08-27,2023-07-30
William Friedkin,1935-08-29,2023-08-07
Robbie Robertson,1943-07-05,2023-08-09
Terry Funk,1944-06-30,2023-08-23
Bob Barker,1923-12-12,2023-08-26
Jimmy Buffett,1946-12-25,2023-09-01
Bill Richardson,1947-11-15,2023-09-01
Gary Wright,1943-04-26,2023-09-04
Steve Harwell,1967-01-09,2023-09-04
David McCallum,1933-09-19,2023-09-25
Brooks Robinson,1937-05-18,2023-09-26
Michael Gambon,1940-10-19,2023-09-28
Dianne Feinstein,1933-06-22,2023-09-28
Tim Wakefield,1966-08-02,2023-10-01
Dick Butkus,1942-12-09,2023-10-05
Rudolph Isley,1939-04-01,2023-10-11
Piper Laurie,1932-01-22,2023-10-14
Suzanne Somers,1946-10-16,2023-10-15
Richard Roundtree,1942-07-09,2023-10-24
Matthew Perry,1969-08-19,2023-10-28
Frank Howard,1936-08-08,2023-10-30
Bobby Knight,1940-10-25,2023-11-01
